GENE	TCGA-OR-A5J1	TCGA-OR-A5J2	TCGA-OR-A5J3
ALDH4A1	306.9164	411.4883	1000.1481
ALDH5A1	479.3468	135.2838	894.0898
ALDH6A1	80.4131	544.2033	1055.5177
ALDH7A1	1437.0797	1194.2017	2760.4799
ALDH8A1	31.7003	4.0263	10.0726
ALDH9A1	8228.6263	3742.4494	4625.6851
ALDOA	18268.9721	12143.7350	70543.6232
ALDOB	628.2421	116.3602	2405.5695
ALDOC	1804.9952	590.6588	15861.3539
ALG10B	310.2786	691.7190	318.7676
ALG10	65.3218	221.0441	125.6110
ALG11	37.4640	49.9262	15.4051
ALG12	332.8530	386.1225	300.9924
ALG13	507.2046	240.3703	660.6429
ALG14	454.3708	237.5519	321.1376
ALG1L2	0.0000	0.4026	0.0000
ALG1L	5.4707	27.3386	23.8720
ALG1	703.5687	561.3755	1364.0409
ALG2	1689.2411	874.5132	1533.4025
ALG3	1164.2651	1450.6773	1231.2250
ALG5	547.5504	443.6987	696.7857
ALG6	184.9183	320.8964	318.1751
ALG8	459.6542	681.6532	938.5276
ALG9	645.0528	497.2485	600.7999
ALKBH1	256.9645	142.9338	428.3810
ALKBH2	431.3160	270.9702	457.4137
ALKBH3	322.2863	339.4174	145.7562
ALKBH4	411.4697	242.1781	516.4805
ALKBH5	4957.4832	2173.7572	4770.7362
ALKBH6	229.5869	121.9970	261.8871
ALKBH7	974.5437	812.5081	1422.0116
ALKBH8	170.5091	150.5838	97.1708
ALK	0.4803	0.4026	5.3325
ALLC	11.5274	1.6105	2.3700
ALMS1P	1.4409	2.4158	2.9625
ALMS1	444.7646	688.4980	278.4773
ALOX12B	1.4409	0.4026	75.8406
ALOX12P2	0.0000	0.4026	0.5925
ALOX12	5.7637	5.2342	2.9625
ALOX15B	54.2747	5.6368	40.8828
ALOX15	0.0000	0.8053	0.0000
ALOX5AP	83.5735	9.2605	53.3254
ALOX5	90.7781	26.5736	20.1452
ALOXE3	0.0000	0.8053	8.8876
ALPI	0.0000	0.0000	0.0000
ALPK1	142.6513	386.9278	517.8492
ALPK2	0.0000	0.8053	0.0000
ALPK3	39.3852	1345.5907	75.8406
ALPL	522.5744	4144.6772	10108.7246
ALPPL2	0.0000	0.0000	0.5925
ALPP	0.0000	0.0000	0.0000
ALS2CL	23.5351	283.4518	102.5033
ALS2CR11	1.4409	45.0946	5.9250
ALS2CR12	2.4015	4.8316	4.1475
ALS2CR4	852.0653	910.7499	468.0788
ALS2CR8	123.9193	246.8124	93.6158
ALS2	332.8530	416.7224	308.1025
ALX1	0.4803	0.4026	1.7775
ALX3	25.4563	18.5210	20.1452
ALX4	0.4803	109.5155	81.1732
AMAC1L2	3.3622	1.6105	0.5925
AMAC1L3	0.9606	0.0000	0.0000
AMAC1	0.0000	0.0000	0.0000
AMACR	501.9212	440.8803	872.1671
AMBN	0.0000	0.0000	0.0000
AMBP	0.0000	2.0132	0.0000
AMBRA1	1194.0442	2071.9360	1032.1434
AMD1	1131.5274	1044.1575	2127.6789
AMDHD1	4.3228	52.7446	315.2126
AMDHD2	860.8598	633.7765	186.0465
AMELX	0.0000	0.0000	0.0000
AMELY	0.0000	0.0000	0.0000
AMFR	4959.6542	6014.0901	13976.0036
AMHR2	991.8348	152.9995	491.1865
AMH	72.0461	12.8842	201.4516
AMICA1	84.0538	33.8210	16.5901
AMIGO1	77.8098	419.5409	412.9759
AMIGO2	392.4111	85.3576	309.8800
AMIGO3	184.9183	416.3198	135.6836
AMMECR1L	743.0355	625.2850	427.7885
